,type,isfood_encoded
262,Parking Toll ERP,0
263, Mileage allowances BULL,0
264,National Meal,1
265,Underground,0
266,Hotel domestic breakf etc,0
267,Train km ,0
268,Flat rate breakfast,1
269,Eve Meal re overnight stay,1
270,Other Travelling Exp Local ,0
271,Meals for day trip,1
272,Personal Car,0
273,Parking Tolls Cong Charge,0
274,Entertainment,0
275,Taxis,0
276,Other expenses,0
277, Lnch Dnnr Paris cumulated ,1
278,Taxis,0
279, Lunch,1
281,Train km ,0
282,Parking Tolls Cong Charge,0
283,Train km ,0
284,Hotel,0
286,Hotel,0
287, Hotel except Paris Sophia,0
288,For Trvl Conveyance Expenses,0
289,Rail,0
290, miles travelled,0
291,Repair maintenance cars,0
292,Motorway Car park,0
293,Parking,0
294,Breakfast after overnight stay,1
295,Meals for day trip,1
296,Travel Exp,1
297,Parking Tolls,0
298,Meals Business Or Travel,1
299,Meals for day trip,1
300,Bus,0
301,Taxi,0
302,Gasoline,0
303,Rail,0
304,Lunch when at NON client site,1
305,Lunch when at NON client site,1
306, Mileage allowances BULL,0
307, Transports occasional ,0
308,Parking Tolls Cong Charge,0
309,Parking,0
310,Total Per diem,1
311,Taxi,0
312,Eve Meal re overnight stay,1
313,Breakfast left home pre am,1
314, Meal abroad,1
315,Train km ,0
316,Public transporation,0
317,Taxi Local ,0
318, Meal abroad,1
320,Rail,0
321,Other Expenses Others,0
322,Emp Visa Medical ID cards,0
323,Underground,0
324,Other services,0
325,Personal Incidental Exp UK,0
326, Meal allowance country,1
327,Taxi ,0
328, Reception,1
329, Mileage allowances BULL,0
330,Rail,0
331,Meals for day trip,1
332, miles travelled,0
333, miles travelled,0
334,Underground,0
335, Lunch,1
336, Meal abroad,1
337,Bus,0
338,Per diem Dinner,1
339,Meals Business Or Travel,1
340,Travel Exp,1
341,Meals Business Or Travel,1
342,Lunch when at NON client site,1
343, Transports Subscription ,0
344,Metropolitan public transport,0
345,Meals for day trip,1
346,Rail,0
347, Dinner country,1
348,Per diem Lunch,1
349,Parking Tolls Cong Charge,0
350,Parking Tolls Cong Charge,0
351,Taxi,0
352,Parking,0
353,Benefits ,0
355,Lunch when at NON client site,1
356,Hotel Accommodation,0
357, Lunch,1
358,Taxi Travelled KMs,0
359, Meal allowance Paris,1
360,Parking Tolls Cong Charge,0
361,Meals for day trip,1
362,Others business trip,0
363,Other travel exp international,0
364, Dinner Paris,1
365,Lunch when at NON client site,1
366, Pers Internet Home work,0
367,Hotel Accommodation,0
368, Meal allowance country,1
369, Reception,1
370,Meals for day trip,1
371,Underground,0
372,Taxi,0
373,Standby allowance Accor FB,0
374,Taxi,0
375, miles travelled,0
376,Train,0
377,Parking Tolls Cong Charge,0
379, Lunch,1
380, Reception,1
381, Meal abroad,1
382, miles travelled,0
383, miles travelled,0
384, Hotel Paris Sophia,0
385,UK Per Diem,1
386,Total Per diem,1
387,Bus,0
388,Per diem Lunch,1
389,Train km ,0
390,Parking Tolls Cong Charge,0
391, miles travelled,0
392,Underground,0
393,Meals Client Entertainment,1
395,Lunch when at NON client site,1
396,Client Entertainment,0
397,Fuel For rented cars,0
398,Underground,0
399, Mileage allowances BULL,0
400,FOREIGN TRAVEL STAFF MEALS,0
401,Taxi,0
402,Travel Exp,1
403, Meal abroad,1
404,Taxi Local ,0
405,UK Per Diem,1
406,Meals Business Or Travel,1
407,Parking Tolls Cong Charge,0
408,Hotel domestic accomad ,0
409, Meal allowance country,1
410,Meals Business Or Travel,1
411,Taxi,0
412,Rail,0
413, Lunch,1
414, miles travelled,0
415,Rail,0
416,Meals for day trip,1
417,others ,0
418,Rail,0
420,Train,0
421, Transports occasional ,0
422, Pers Internet Home work,0
423,Personal Car,0
424,Taxi,0
425,Lunch when at NON client site,1
426,Taxi,0
427, Parking,0
428,non mon benefit breakfast,0
429, miles travelled,0
430,Hotel,0
431,Lunch when at NON client site,1
432,Lunch dinner collaborators,1
433,Meals for day trip,1
434,Hotel domestic breakf etc,0
435,Benefits ,0
436,Others business trip,0
437,Taxi,0
438, miles travelled,0
439,Lunch when at NON client site,1
440, miles travelled,0
441,Meals Business Or Travel,1
442,Meals Business Or Travel,1
443, Meal allowance country,1
444,Eve Meal re overnight stay,1
445,Late Sitting Conveyance,0
446,Meals for day trip,1
447,Taxi,0
448,Hotel domestic breakf etc,0
449,Eve Meal re overnight stay,1
450,Mobile,0
451,Train,0
452,non mon benefit breakfast,0
453,Lunch when at NON client site,1
454, Lnch Dnnr Paris cumulated ,1
455,Taxi,0
456,Other Expenses PublicTransport,0
457,Underground,0
458,Meals for day trip,1
459,Meals for day trip,1
460,Hotel domestic accomad ,0
461,Meals for day trip,1
462,Phone,0
463,Mobile,0
464,Hotel,0
465,Personal Incidental Exp UK,0
466, Toll,0
467,Emp Visa Medical ID cards,0
468, Meal allowance Paris,1
469,Staff Welfare Expenses,0
471, miles travelled,0
472,Parking,0
473,Meals Business Or Travel,1
474,Conveyance Expenses,0
475,Break Lunch Din max F C,1
476, miles travelled,0
477, Taxi,0
478,Other Expenses Meals,0
479,Hotel Accommodation,0
480,Gasoline,0
481, Mileage allowances BULL,0
482,Office equipment,0
483,Parking,0
484,Lunch when at NON client site,1
485,Per diem Night,0
486,Motorway Car Park,0
487, Reception,1
488,Rail,0
489,Underground,0
490, Toll,0
491,Parking,0
492,others ,0
493,Transportation,0
494,Train km ,0
495, miles travelled,0
496,Eve Meal late home after pm,1
497, Diesel,0
498, Breakfast,1
499,Parking,0
500, miles travelled,0
501,Dom Trvl Other Exps w o bills,0
502,Meals Business Or Travel,1
503, Mileage allowances BULL,0
504,Taxis,0
505,Team building,0
506,Hotel Accommodation,0
507,Rail,0
508,Miscellaneous Expenses,0
510,Repre internal,0
511, Parking,0
512, Taxi,0
513, Meal allowance Paris,1
514,UK Per Diem,1
515, Lunch,1
516,Meals for day trip,1
517,Train km ,0
518,Telephone Internet,0
519,Ferry ticket,0
520,National Meal,1
521,Parking Tolls Cong Charge,0
522,Taxis,0
523, Lunch,1
524, Pers Internet Home work,0
525,Fuel,0
526,Postage,0
527, miles travelled,0
528,Lunch,1
529,Training Seminars,0
530,Taxi,0
531,Entertainment Gift presents,0
532,Parking,0
533, Pers Internet On call,0
534,Lunch with business contact,1
535,Hotel,0
536,Taxi,0
537, Pers Internet On call,0
538, miles travelled,0
539,Eve Meal re overnight stay,1
540,Taxis,0
541, Meal allowance Paris,1
542,Taxis,0
543,FOREIGN TRAVEL HOTEL ACCOM ,0
544,Taxis,0
545, Toll,0
546,Local tax,0
547,Parking Tolls Cong Charge,0
548, Meal allowance country,1
549, Meal allowance country,1
550,Parking Tolls Cong Charge,0
551,Train km ,0
552,Per diem Dinner,1
553,Other Postage Freight,0
554,Parking Toll ERP,0
555, Mileage allowances BULL,0
556,FOREIGN TRAVEL STAFF MEALS,0
557,Toll Fee Local ,0
558,Taxi,0
559,Meals Business Or Travel,1
560,Lunch when at NON client site,1
561,Taxi ,0
562,Gasoline,0
563,Air fare,0
564,Rail,0
565,Car Hire Days,0
566,Conveyance Expenses,0
567,Breakfast,1
568, Postage,0
569, Hotel Meal part,0
570,Parking,0
571, Transports occasional ,0
572,Lunch when at NON client site,1
573, Taxi,0
574, miles travelled,0
575,Taxi,0
576,Rail,0
577, miles travelled,0
578,Rail,0
579, miles travelled,0
580,Others ,0
581, miles travelled,0
582,Train,0
583,Meals for day trip,1
584,Train,0
585,Hotel domestic accomad ,0
586, Meal abroad,1
587,Rail,0
588,Meals for day trip,1
589,Breakfast,1
590,Other services,0
591,ADSL Broadband internet conn,0
592,UK Per Diem,1
593,Airport Transfer,0
594, Lunch,1
595, Hotel except Paris Sophia,0
596,Per diem Lunch,1
597,Fuel Hire Pool Car Fuel Card,0
598, Meal allowance country,1
599,others ,0
600,Other expenses,0
601,Taxi,0
602,Taxi,0
603, Transports occasional ,0
604,Entertainment Gift presents,0
605,Taxis,0
606,Per diem Lunch,1
607, Reception,1
608,Telephone Mobile,0
609, Meal allowance Paris,1
610,Standby allowance Accor FB,0
611,Accommodation for nights,0
612,Parking toll ferry client car,0
613,Taxi abroad,0
615,Parking Tolls Cong Charge,0
616,Various with receipts V A ,0
617, Lunch,1
618,Taxi Travelled KMs,0
619,Train km ,0
620, Dinner Paris,1
621,Taxi ,0
622,Restaurant Denmark,0
623,Meals Business Or Travel,1
624,Hotel,0
625, Lunch Drink VAT ,1
626,Hotel domestic accomad ,0
627, Lunch,1
628,Eve Meal late home after pm,1
629,Meals for day trip,1
630,Other Tips non meals ,0
631,Taxis,0
632, Pers Internet Home work,0
633, Plane,0
634,Conveyance Expenses,0
635, Lunch,1
636,Taxis,0
637,Rail,0
638,Meals Business Or Travel,1
639,Parking,0
640, Toll,0
641, Lunch,1
642, Pers Internet On call,0
643, Lunch Drink VAT ,1
644,Taxis,0
645,Rail,0
646, Dinner Paris,1
647,Meals for day trip,1
648,Lunch Max F C,1
649,Per diem Dinner,1
650, Hotel Paris Sophia,0
651,Lunch when at NON client site,1
652,Hotel Accommodation,0
653,Telephone Internet,0
654, Taxi,0
655, Taxi,0
656, miles travelled,0
657, Hotel Paris Sophia,0
658,Rail,0
659,Hotel domestic accomad ,0
660,others ,0
661,Local Travel Daily Allowance,0
662,Taxis,0
663,Taxi,0
664, miles travelled,0
665,Lunch when at NON client site,1
666,Telephone Internet,0
667,Other Tips non meals ,0
668, Parking,0
669,Taxis,0
670,Taxi Local ,0
671, Transports Subscription ,0
672,others ,0
673,Parking,0
674,Underground,0
675,Gasoline,0
676, Meal allowance Paris,1
677,Per diem Lunch,1
678,Transportation international,0
679,Hotel Lodging,0
680,Breakfast after overnight stay,1
681,UK Per Diem,1
682, miles travelled,0
683, Meal allowance country,1
684,Ferry,0
685, Dinner Drink VAT ,1
686, miles travelled,0
687,Meals for day trip,1
688,Taxi,0
689,others ,0
690, miles travelled,0
691,Meals Business Or Travel,1
692,Other Incidentals,0
693, Hotel abroad,0
694, Parking,0
695,Parking Tolls Cong Charge,0
696,Gasoline,0
697, Meal allowance Paris,1
698,Breakfast left home pre am,1
699,Airfare,0
700, miles travelled,0
701,Train km ,0
702, Lunch,1
703,Parking Tolls Cong Charge,0
704,Rail,0
705,Other Expenses Others,0
706, Mileage allowances BULL,0
707,Telephone Mobile,0
708,Total Per diem,1
709,Parking Tolls Cong Charge,0
710,Airport shuttle bus,0
711,Meals Business Or Travel,1
712,Parking Tolls Cong Charge,0
713,Per diem Lunch,1
714,Taxi ,0
715,Lunch when at NON client site,1
716,Benefits ,0
717, miles travelled,0
718,Conveyance Expenses,0
719,City and tourist tax,0
720,Personal Incidental Exp UK,0
721,Taxi,0
722,Repas,0
723,Telephone Internet,0
724,Meals for day trip,1
725,Train,0
726,Lodging excl breakfast,0
727,Telephone Internet,0
728,Parking,0
729,Gasoline,0
730,Meals for day trip,1
731, Lnch Dnnr Paris cumulated ,1
732,Private car,0
733,Taxis,0
734,Public Transport,0
735,Public Transport,0
736,Underground,0
737,Breakfast,1
738,Underground,0
739,Meals Business Or Travel,1
740, Taxi,0
741, miles travelled,0
742, miles travelled,0
743,Meals for day trip,1
744,Rail,0
745,Staff Training,0
746,Subway,0
747,Taxi,0
748,Breakfast after overnight stay,1
749,Taxis,0
750,Lodging incl breakfast,0
751, Transports Subscription ,0
752, miles travelled,0
753,Taxi ,0
754,Taxi,0
755, Toll,0
756, miles travelled,0
757, Parking,0
758,Motorway Car park,0
759,Hotel Lodging,0
760,Late Sitting Conveyance,0
761,Overseas Receipted Meals,1
762,Lunch when at NON client site,1
763,Parking Tolls Cong Charge,0
764,Lunch when at NON client site,1
765,Subway,0
766, Transports occasional ,0
767,Customer other expenses,0
768,Taxi ,0
769,Taxi,0
770,Taxis,0
771,Lunch when at NON client site,1
772,Taxis,0
773,Parking Tolls Cong Charge,0
774,Rail,0
775,Taxi,0
776, Lnch Dnnr Cntry cumulated ,1
777,Taxis,0
778,Eve Meal re overnight stay,1
779, Reception,1
780,Lunch when at NON client site,1
781, Parking,0
782,Excess Travel Change of office,0
783, Toll,0
784, Dinner Paris,1
785,Other services,0
786,Other Expenses Meals,0
787,Motorway Car park,0
788, Parking,0
789, miles travelled,0
790,Lunch when at NON client site,1
791, Meal allowance Paris,1
792,Meals for day trip,1
793,Taxis,0
794,Others abroad,0
795,Breakfast,1
796,Meals for day trip,1
797,Meals for day trip,1
798,Lunch when at NON client site,1
799,Lunch,1
800,Taxi GST,0
801,Hotel Accommodation,0
802, Lunch,1
803,Parking,0
804,Lunch when at NON client site,1
805, miles travelled,0
806, Housing allow Paris Sophia,0
807, Toll,0
808,Underground,0
809,Dinner Max F C,1
810, Meal allowance Paris,1
811,Telephone Charges Personal ,0
812,Meals for day trip,1
813,Parking domestic,0
814,Taxi,0
815,Parking Tolls Cong Charge,0
816,Travel Exp,1
817,Rail,0
818,MRT LRT,0
819,Airfare,0
820,Meals Business Or Travel,1
821, miles travelled,0
822,Travel Exp,1
823,Air Travel,0
824,Per diem Lunch,1
825,Mobile,0
826,Parking Tolls Cong Charge,0
827,Overseas Per Diem,0
828,Motorway Car Park,0
829, Meal allowance country,1
830,others ,0
831,Business meal,1
832, Lunch,1
833,Parking,0
834,Phone charge,0
835, miles travelled,0
836, Meal allowance Paris,1
837,Parking Toll ERP,0
838,DOMESTIC TRAVEL Public T,0
839,Lodging incl breakfast,0
840,Rail,0
841,National Meal,1
842, Taxi,0
843,Parking Tolls Cong Charge,0
844,others ,0
845,Hotel Accommodation,0
846,Rental car,0
847,Meals Business Or Travel,1
848,UK Per Diem,1
849, Meal allowance Paris,1
850, Lunch,1
851,Underground,0
852, miles travelled,0
853,Parking Tolls Cong Charge,0
854,Overseas Per Diem,0
856,Hotel domestic accomad ,0
857, Meal allowance country,1
858,Meals for day trip,1
859,Client Entertainment Expenses,0
860,others ,0
861,Rail,0
862,Hotel Accommodation,0
863,Taxis,0
864,Taxi,0
865, miles travelled,0
866, Breakfast,1
867, miles travelled,0
868,Production support Accor FB,0
869,Meals for day trip,1
870,Urb transport bus tram metro ,0
871,Telephone Internet,0
872,Overseas Per Diem,0
873,MRT LRT,0
874,Parking Tolls Cong Charge,0
876,Taxi GST,0
877,Taxi,0
878,Other Expenses Meals,0
879,Hotel F C,0
880,Staying with Friends Relatives,0
881, Lunch,1
882,Breakfast after overnight stay,1
883, Car rental,0
884, Toll,0
885, Reception,1
886,Parking Tolls Cong Charge,0
887, Mileage allowances BULL,0
888,Overseas Per Diem,0
889,Lunch when at NON client site,1
890,Lunch when at NON client site,1
891,Train km ,0
892,Conveyance Expenses,0
893,Breakfast after overnight stay,1
894, Meal allowance Paris,1
895, Parking,0
896, miles travelled,0
897,Hotel Accommodation,0
898, Hotel Meal part,0
899,Meals for day trip,1
900,Rental car international,0
901,Parking,0
902,Public Transport,0
903,Other Passport Visa Fee,0
904,Rental car,0
905,Taxi,0
906,Others business trip,0
907,Personal Incidental Exp UK,0
908, Meal allowance country,1
909,Plane Low Cost,0
910,Taxis,0
911,Per diem Night,0
913,Taxi,0
914,Plane Low Cost,0
915, Meal allowance country,1
916,Local Conveyance Intercity,0
917,Overseas Per Diem,0
918,Taxi,0
919,Taxis,0
920,others ,0
921, miles travelled,0
922,Airfare,0
923,Other Tolls,0
924,Overseas Per Diem,0
925,Taxi allowance,0
926,Breakfast left home pre am,1
927,Phone charge,0
928, Transports occasional ,0
929, Toll,0
930,Travel Exp,1
931,Sundry,0
932, miles travelled,0
933,Per diem Night,0
934,Underground,0
935,UK Per Diem,1
936,Underground,0
937,Car Rental,0
938,Lunch when at NON client site,1
939,Lunch when at NON client site,1
940,Taxi GST,0
941,Parking Tolls Cong Charge,0
942,Bus,0
943,Rail,0
944,Personal Car,0
945,Taxi,0
946,Parking Tolls Cong Charge,0
947,Underground,0
948,Other travel expenses,0
949,Total Per diem,1
950,Hotel Domestic ,0
951, miles travelled,0
952,Rail,0
953,Eve Meal re overnight stay,1
954,Car Rental,0
955, miles travelled,0
956, Lunch,1
957,Meals for day trip,1
958,Train ,0
959,Overseas Per Diem,0
960,Parking Tolls Cong Charge,0
961,Bus,0
962,Additional follow day pr hour,0
963,Client Entertainment,0
964,Hotel abroad,0
965, Toll,0
966,Per diem Breakfast,1
967,Public transporation,0
968,Train km ,0
969,Parking toll ferry client car,0
970,Taxi,0
971, Hotel Paris Sophia,0
972,Rail,0
973,Business meal,1
974,Taxi,0
975,Per diem Lunch,1
976,Meals Business Or Travel,1
977, miles travelled,0
978,Hotel domestic breakf etc,0
979,Train km ,0
980,Per diem Dinner,1
981,Hotel Domestic invoice,0
982, Lunch,1
983,Rail,0
984,UK Per Diem,1
985,Others business trip,0
986,Air Travel,0
987,Eve Meal re overnight stay,1
988,Meals Business Or Travel,1
990,Train km ,0
991, Pers Internet Home work,0
992,Personal Car,0
993, Dinner country,1
994,Telephone Internet,0
995,DOMESTIC TRAVEL Taxi,0
996,Taxis,0
997,Lunch when at NON client site,1
998,Meals for day trip,1
999,Parking toll ferry client car,0
1000,UK Per Diem,1
1001,Travel Exp,1
1002, miles travelled,0
1003, Meal allowance country,1
1004,National Meal,1
1005,Parking Tolls Cong Charge,0
1006,Taxis,0
1007,Public Transport,0
1008, miles travelled,0
1009,Meals Business Or Travel,1
1010,Parking Tolls Cong Charge,0
1012,Hotel domestic breakf etc,0
1013,Travel Exp,1
1014,Parking Tolls Cong Charge,0
1015, Hotel except Paris Sophia,0
1016,Parking Toll ERP,0
1017,Taxi,0
1018,Taxi,0
1019, Meal allowance country,1
1020,Rental car,0
1021,Taxi,0
1022,Other Expenses Others,0
1023, Meal allowance Paris,1
1024,Business meal,1
1025, Hotel Meal part,0
1026,Taxis,0
1027,Parking Tolls Cong Charge,0
1028,Hotel domestic breakf etc,0
1029,Hotel domestic accomad ,0
1030, Mileage allowances BULL,0
1031,Hotel Lodging,0
1032,Hotel,0
1033,UK Per Diem,1
1034,Motorway Car park,0
1035,Client Entertainment,0
1036,Parking Tolls Cong Charge,0
1037, Lunch,1
1038,Per diem Lunch,1
1039, Taxi,0
1040,Total Per diem,1
1041,Parking toll ferry own car,0
1042,others ,0
1043,Health and Safety,0
1044,Parking Tolls Cong Charge,0
1045,Taxi,0
1046,Meals for day trip,1
1047,Hotel Accommodation,0
1048,Taxi,0
1049,Hotel domestic breakf etc,0
1050,Lunch Max F C,1
1051,Taxi abroad,0
1052,Per diem Dinner,1
1053,Motorway Car park,0
1054, Meal allowance country,1
1055, Lunch,1
1056,Rail,0
1057, Gas,0
1058,Meal allowance OT FB,1
1059,Other Tolls,0
1060,Lunch when at NON client site,1
1061, Hotel Paris Sophia,0
1062, miles travelled,0
1063,Telephone Mobile,0
1064,Meals for day trip,1
1065,Underground,0
1066, Hotel except Paris Sophia,0
1067,Taxi,0
1068,Hotel Accommodation,0
1070,Taxi,0
1071,Rail,0
1072, Hotel Paris Sophia,0
1073,others ,0
1074,Lunch when at NON client site,1
1075,Meals for day trip,1
1076,Hotel,0
1077, miles travelled,0
1078,others ,0
1079, miles travelled,0
1080,Eve Meal re overnight stay,1
1081,Lunch Non working day,1
1082,Airfare,0
1083, miles travelled,0
1084,Total Per diem,1
1085, Dinner country,1
1086,Lunch when at NON client site,1
1087,Taxi,0
1088,Taxis,0
1089,Parking,0
1090, Mileage allowances BULL,0
1091,Hotel,0
1092,Parking toll ferry client car,0
1093,Staff Ent Motivate Indiv Team,0
1094,Hotel domestic breakf etc,0
1095,Taxis,0
1096,Per diem Night,0
1097,Taxis,0
1098,Hotel domestic accomad ,0
1099, miles travelled,0
1100, Meal allowance country,1
1101, Transports Subscription ,0
1102,Conveyance Expenses,0
1103,Underground,0
1104,Parking Tolls Cong Charge,0
1105,Parking Tolls Cong Charge,0
1106, Meal allowance Paris,1
1107, miles travelled,0
1108,Telephone Mobile,0
1109,Team building,0
1110,Taxi,0
1111,Parking,0
1112, Taxi,0
1113,Service Private Sector,0
1114,others ,0
1115,Hotel Accommodation,0
1116,Lunch when at NON client site,1
1117,Parking,0
1118,Repas,0
1119,Telephone Internet,0
1120, Transports occasional ,0
1121,Personal Car,0
1122,Rail,0
1123,Taxi abroad,0
1124,Hotel,0
1125,Meals for day trip,1
1126,Taxi,0
1127,Late Sitting Food,1
1128, miles travelled,0
1129,Eve Meal late home after pm,1
1130,Entertainment Gift presents,0
1131,Total Per diem,1
1132,Dinner Max F C,1
1133, Mileage allowances BULL,0
1134,Train km ,0
1135,Rail,0
1136,Taxi ,0
1137,Conveyance Expenses,0
1138,Hotel Accommodation,0
1139,Personal Incidental Exp UK,0
1140,Meals Business Or Travel,1
1141,Parking Tolls Cong Charge,0
1142, Transports Subscription ,0
1143,ADSL Broadband internet conn,0
1144,Lunch when at NON client site,1
1145,Meals for day trip,1
1146,Lunch F C,1
1147,Meals Business Or Travel,1
1148,Hotel domestic accomad ,0
1149, miles travelled,0
1150,Per diem Dinner,1
1151,Personal Car,0
1152,Taxi,0
1153,Benefits ,0
1154,Rail,0
1155, Mileage allowances BULL,0
1156,Parking Tolls Cong Charge,0
1157,Entertainment food drink,0
1158, miles travelled,0
1159,Personal Incidental Exp UK,0
1160, miles travelled,0
1161,Parking Tolls Cong Charge,0
1162, Meal abroad,1
1163, Hotel Paris Sophia,0
1164,Taxis,0
1165,Hotel,0
1166,Other Incidentals,0
1167,Parking Tolls Cong Charge,0
1168,Lodging incl breakfast,0
1169, Meal allowance country,1
1170,Parking Toll ERP,0
1171,Parking Tolls Cong Charge,0
1172,Taxi,0
1173,Toll Fee Local ,0
1174,Train km ,0
1176,Hotel,0
1177,Taxi,0
1178, Car rental,0
1179,Taxis,0
1180,Underground,0
